Name,ID,Rank,Upgrade,Category
Capella,1058,2,1059,Weapon
Vega,1059,2,105A,Weapon
Sirius,105A,3,105B,Weapon
Betelgeuse,105B,4,105C,Weapon
Ras Algethi,105C,5,105D,Weapon
Aldebaran,105D,5,105E,Weapon
Spica,105E,6,105F,Weapon
Antares,105F,6,1060,Weapon
Arcturus,1060,7,1061,Weapon
Fomalhaut,1061,8,10C5,Weapon
Handaxe,1062,1,1069,Weapon
Broadaxe,1063,3,106A,Weapon
Slasher,1064,4,106B,Weapon
Hammerhead,1065,6,1066,Weapon
Francisca,1066,6,106C,Weapon
Greataxe,1067,8,1068,Weapon
Golden Axe,1068,9,106D,Weapon
Iron Hammer,1069,2,1063,Weapon
War Hammer,106A,4,1064,Weapon
Sledgehammer,106B,5,1065,Weapon
Morning Star,106C,7,1067,Weapon
Scorpion Tail,106D,9,10C4,Weapon
Dagger,106E,1,106F,Weapon
Mage Masher,106F,2,1070,Weapon
Assassin's Dagger,1070,3,1071,Weapon
Chopper,1071,3,1072,Weapon
Main Gauche,1072,4,1073,Weapon
Gladius,1073,4,1074,Weapon
Avenger,1074,5,1075,Weapon
Orichalcum Dirk,1075,6,1076,Weapon
Platinum Dagger,1076,7,1077,Weapon
Zwill Crossblade,1077,8,1078,Weapon
Shikari Nagasa,1078,9,10AC,Weapon
Rod,1079,1,107B,Weapon
Serpent Rod,107A,3,107C,Weapon
Healing Rod,107B,1,107A,Weapon
Gaia Rod,107C,3,107D,Weapon
Power Rod,107D,5,107E,Weapon
Empyrean Rod,107E,5,107F,Weapon
Holy Rod,107F,7,1080,Weapon
Rod of Faith,1080,8,,Weapon
Oak Staff,1081,1,1082,Weapon
Cherry Staff,1082,3,1083,Weapon
Wizard's Staff,1083,3,1084,Weapon
Flame Staff,1084,5,1085,Weapon
Storm Staff,1085,5,1086,Weapon
Glacial Staff,1086,5,1087,Weapon
Golden Staff,1087,6,1088,Weapon
Judicer's Staff,1088,7,1089,Weapon
Cloud Staff,1089,7,108A,Weapon
Staff of the Magi,108A,9,,Weapon
Mace,108B,1,108C,Weapon
Bronze Mace,108C,2,108D,Weapon
Bhuj,108D,3,108E,Weapon
Miter,108E,3,108F,Weapon
Thorned Mace,108F,4,1090,Weapon
Chaos Mace,1090,5,1091,Weapon
Doom Mace,1091,6,1092,Weapon
Zeus Mace,1092,6,1093,Weapon
Grand Mace,1093,6,10AF,Weapon
Gilt Measure,1094,2,1095,Weapon
Arc Scale,1095,2,1097,Weapon
Multiscale,1096,4,1098,Weapon
Cross Scale,1097,2,1096,Weapon
Caliper,1098,6,1099,Weapon
Euclid's Sextant,1099,8,,Weapon
Hornito,109A,4,109B,Weapon
Fumarole,109B,5,109C,Weapon
Tumulus,109C,5,109D,Weapon
Caldera,109D,6,109E,Weapon
Volcano,109E,6,10C3,Weapon
Bonebreaker,109F,10,,Weapon
Mythril Sword,10A0,1,1002,Weapon
Treaty-Blade,10A2,0,,Weapon
Sword of Kings,10A3,0,,Weapon
Mythril Blade,10A8,2,1003,Weapon
Kumbha,10AA,9,10B1,Weapon
Mesa,10AB,9,,Weapon
Mina,10AC,10,,Weapon
Wyrmhero Blade,10AD,10,,Weapon
Vrsabha,10AE,10,,Weapon
Bone of Byblos,10AF,10,109F,Weapon
Tula,10B0,9,,Weapon
Great Trango,10B1,10,,Weapon
Seitengrat,10B2,11,,Weapon
Karkata,10C0,8,10C2,Weapon
Excalipur,10C1,1,1012,Weapon
Simha,10C2,8,10AA,Weapon
Makara,10C3,7,,Weapon
Vrscika,10C4,10,,Weapon
Mithuna,10C5,9,,Weapon
Kanya,10C6,9,,Weapon
Dhanusha,10C7,9,10B2,Weapon
Gendarme,10C8,11,,Armor
Leather Shield,10C9,1,10CA,Armor
Buckler,10CA,1,10CB,Armor
Bronze Shield,10CB,2,10CC,Armor
Round Shield,10CC,2,10CD,Armor
Shell Shield,10CD,3,10CE,Armor
Golden Shield,10CE,4,10CF,Armor
Ice Shield,10CF,4,10D0,Armor
Flame Shield,10D0,4,10D1,Armor
Diamond Shield,10D1,5,10D2,Armor
Platinum Shield,10D2,5,10D3,Armor
Dragon Shield,10D3,6,10D4,Armor
Crystal Shield,10D4,6,10D6,Armor
Genji Shield,10D5,10,10DB,Armor
Kaiser Shield,10D6,7,10D7,Armor
Aegis Shield,10D7,8,10D8,Armor
Demon Shield,10D8,8,10D9,Armor
Venetian Shield,10D9,8,10DA,Armor
Zodiac Escutcheon,10DA,9,10D5,Armor
Ensanguined Shield,10DB,10,10C8,Armor
Leather Cap,10DC,1,10DD,Armor
Headgear,10DD,1,10DE,Armor
Headguard,10DE,1,10DF,Armor
Leather Headgear,10DF,2,10E0,Armor
Horned Hat,10E0,2,10E1,Armor
Balaclava,10E1,2,10E2,Armor
Soldier's Cap,10E2,3,10E3,Armor
Green Beret,10E3,3,10E4,Armor
Red Cap,10E4,4,10E5,Armor
Headband,10E5,4,10E6,Armor
Pirate Hat,10E6,5,10E7,Armor
Goggle Mask,10E7,5,10E8,Armor
Adamant Hat,10E8,6,10E9,Armor
Officer's Hat,10E9,6,10EA,Armor
Chakra Band,10EA,7,10EB,Armor
Thief's Cap,10EB,7,10EC,Armor
Gigas Hat,10EC,7,10ED,Armor
Chaperon,10ED,8,10EE,Armor
Crown of Laurels,10EE,8,10EF,Armor
Renewing Morion,10EF,9,10F0,Armor
Dueling Mask,10F0,9,,Armor
Cotton Cap,10F1,1,10F2,Armor
Magick Curch,10F2,1,10F3,Armor
Pointy Hat,10F3,1,10F4,Armor
Topkapi Hat,10F4,2,10F5,Armor
Calot Hat,10F5,2,10F6,Armor
Wizard's Hat,10F6,2,10F7,Armor
Lambent Hat,10F7,3,10F8,Armor
Feathered Cap,10F8,3,10F9,Armor
Mage's Hat,10F9,4,10FA,Armor
Lamia's Tiara,10FA,4,10FB,Armor
Sorcerer's Hat,10FB,5,10FC,Armor
Black Cowl,10FC,5,10FD,Armor
Astrakhan Hat,10FD,6,10FE,Armor
Gaia Hat,10FE,6,10FF,Armor
Hypnocrown,10FF,7,1100,Armor
Gold Hairpin,1100,7,1101,Armor
Celebrant's Miter,1101,7,1102,Armor
Black Mask,1102,8,1103,Armor
White Mask,1103,8,1104,Armor
Golden Skullcap,1104,9,1105,Armor
Circlet,1105,9,,Armor
Leather Helm,1106,1,1107,Armor
Bronze Helm,1107,1,1108,Armor
Sallet,1108,2,1109,Armor
Iron Helm,1109,2,110A,Armor
Barbut,110A,3,110B,Armor
Winged Helm,110B,3,110C,Armor
Golden Helm,110C,4,110D,Armor
Burgonet,110D,4,110E,Armor
Close Helmet,110E,5,110F,Armor
Bone Helm,110F,5,1110,Armor
Diamond Helm,1110,6,1111,Armor
Steel Mask,1111,6,1112,Armor
Platinum Helm,1112,7,1113,Armor
Giant's Helmet,1113,7,1114,Armor
Dragon Helm,1114,8,1115,Armor
Genji Helm,1115,9,1116,Armor
Magepower Shishak,1116,9,1117,Armor
Grand Helm,1117,10,,Armor
Leather Clothing,1118,1,1119,Armor
Chromed Leathers,1119,1,111A,Armor
Leather Breastplate,111A,1,111B,Armor
Bronze Chestplate,111B,2,111C,Armor
Ringmail,111C,2,111D,Armor
Windbreaker,111D,2,111E,Armor
Heavy Coat,111E,3,111F,Armor
Survival Vest,111F,3,1120,Armor
Brigandine,1120,4,1121,Armor
Jujitsu Gi,1121,4,1122,Armor
Viking Coat,1122,5,1123,Armor
Metal Jerkin,1123,5,1124,Armor
Adamant Vest,1124,6,1125,Armor
Barrel Coat,1125,6,1126,Armor
Power Vest,1126,7,1127,Armor
Ninja Gear,1127,7,1128,Armor
Gigas Chestplate,1128,7,1129,Armor
Minerva Bustier,1129,8,112A,Armor
Rubber Suit,112A,8,112B,Armor
Mirage Vest,112B,9,112C,Armor
Brave Suit,112C,10,,Armor
Cotton Shirt,112D,1,112E,Armor
Light Woven Shirt,112E,1,112F,Armor
Silken Shirt,112F,1,1130,Armor
Kilimweave Shirt,1130,2,1131,Armor
Shepherd's Bolero,1131,2,1132,Armor
Wizard's Robes,1132,2,1133,Armor
Chanter's Djellaba,1133,3,1134,Armor
Traveler's Vestment,1134,3,1135,Armor
Mage's Habit,1135,4,1136,Armor
Enchanter's Habit,1136,4,1137,Armor
Sorcerer's Habit,1137,5,1138,Armor
Black Garb,1138,5,1139,Armor
Carmagnole,1139,6,113A,Armor
Maduin Gear,113A,6,113B,Armor
Jade Gown,113B,7,113C,Armor
Gaia Gear,113C,7,113D,Armor
Cleric's Robes,113D,7,113E,Armor
White Robes,113E,8,113F,Armor
Black Robes,113F,8,1140,Armor
Glimmering Robes,1140,9,1141,Armor
Lordly Robes,1141,9,,Armor
Leather Armor,1142,1,1143,Armor
Bronze Armor,1143,1,1144,Armor
Scale Armor,1144,2,1145,Armor
Iron Armor,1145,2,1146,Armor
Linen Cuirass,1146,3,1147,Armor
Chainmail,1147,3,1148,Armor
Golden Armor,1148,4,1149,Armor
Shielded Armor,1149,4,114A,Armor
Demon Mail,114A,5,114B,Armor
Bone Mail,114B,5,114C,Armor
Diamond Armor,114C,6,114D,Armor
Mirror Mail,114D,6,114E,Armor
Platinum Armor,114E,7,114F,Armor
Carabineer Mail,114F,7,1150,Armor
Dragon Mail,1150,8,1151,Armor
Genji Armor,1151,9,1152,Armor
Maximillian,1152,9,1153,Armor
Grand Armor,1153,10,,Armor
Opal Ring,1154,8,,Accessory
Ruby Ring,1155,5,,Accessory
Tourmaline Ring,1156,3,,Accessory
Sage's Ring,1157,2,,Accessory
Ring of Renewal,1158,5,,Accessory
Agate Ring,1159,2,,Accessory
Bangle,115A,1,,Accessory
Orrachea Armlet,115B,1,,Accessory
Power Armlet,115C,2,,Accessory
Argyle Armlet,115D,3,,Accessory
Diamond Armlet,115E,3,,Accessory
Amber Armlet,115F,4,,Accessory
Berserker Bracers,1160,7,,Accessory
Magick Gloves,1161,4,,Accessory
Thief's Cuffs,1162,6,,Accessory
Blazer Gloves,1163,4,,Accessory
Genji Gloves,1164,10,,Accessory
Gauntlets,1165,3,,Accessory
Turtleshell Choker,1166,5,,Accessory
Nihopalaoa,1167,9,,Accessory
Embroidered Tippet,1168,7,,Accessory
Leather Gorget,1169,3,,Accessory
Jade Collar,116A,3,,Accessory
Steel Gorget,116B,3,,Accessory
Rose Corsage,116C,4,,Accessory
Pheasant Netsuke,116D,5,,Accessory
Indigo Pendant,116E,5,,Accessory
Golden Amulet,116F,7,,Accessory
Bowline Sash,1170,4,,Accessory
Firefly,1171,1,,Accessory
Sash,1172,4,,Accessory
Bubble Belt,1173,7,,Accessory
Cameo Belt,1174,4,,Accessory
Nishijin Belt,1175,4,,Accessory
Black Belt,1176,4,,Accessory
Battle Harness,1177,3,,Accessory
Germinas Boots,1178,6,,Accessory
Hermes Sandals,1179,7,,Accessory
Gillie Boots,117A,3,,Accessory
Steel Poleyns,117B,2,,Accessory
Winged Boots,117C,2,,Accessory
Quasimodo Boots,117D,2,,Accessory
Manufacted Nethicite,117E,0,,Accessory
Cat-ear Hood,117F,6,,Accessory
Fuzzy Miter,1180,4,,Accessory
Ribbon,1181,10,,Accessory
Goddess's Magicite,1182,0,,Accessory
Dawn Shard,1183,0,,Accessory
Onion Arrows,1184,1,1185,Weapon
Parallel Arrows,1185,2,1186,Weapon
Fiery Arrows,1186,5,1188,Weapon
Bamboo Arrows,1187,3,1187,Weapon
Lightning Arrows,1188,5,1189,Weapon
Assassin's Arrows,1189,6,118A,Weapon
Icecloud Arrows,118A,7,118B,Weapon
Artemis Arrows,118B,8,,Weapon
Onion Bolts,118C,1,118D,Weapon
Long Bolts,118D,2,118E,Weapon
Stone Bolts,118E,3,118F,Weapon
Lead Bolts,118F,5,1190,Weapon
Black Bolts,1190,5,1191,Weapon
Time Bolts,1191,6,1192,Weapon
Sapping Bolts,1192,7,1193,Weapon
Grand Bolts,1193,8,,Weapon
Onion Shot,1194,1,1195,Weapon
Silent Shot,1195,2,1198,Weapon
Aqua Shot,1196,5,1197,Weapon
Wyrmfire Shot,1197,5,119B,Weapon
Mud Shot,1198,3,1196,Weapon
Windslicer Shot,1199,7,119A,Weapon
Dark Shot,119A,7,,Weapon
Stone Shot,119B,6,1199,Weapon
Onion Bombs,119C,4,119D,Weapon
Poison Bombs,119D,5,119E,Weapon
Stun Bombs,119E,5,11A1,Weapon
Oil Bombs,119F,6,11A0,Weapon
Chaos Bombs,11A0,7,11A2,Weapon
Stink Bombs,11A1,5,119F,Weapon
Water Bombs,11A2,8,11A3,Weapon
Castellanos,11A3,9,,Weapon
Cure,3000,2,,Ability
Blindna,3001,1,,Ability
Vox,3002,1,,Ability
Poisona,3003,1,,Ability
Cura,3004,4,,Ability
Raise,3005,5,,Ability
Curaga,3006,7,,Ability
Stona,3007,4,,Ability
Regen,3008,5,,Ability
Cleanse,3009,7,,Ability
Esuna,300A,5,,Ability
Curaja,300B,8,,Ability
Dispel,300C,5,,Ability
Dispelga,300D,8,,Ability
Renew,300E,9,,Ability
Arise,300F,9,,Ability
Esunaga,3010,8,,Ability
Holy,3011,8,,Ability
Fire,3012,1,,Ability
Thunder,3013,1,,Ability
Blizzard,3014,1,,Ability
Aqua,3015,2,,Ability
Aero,3016,3,,Ability
Fira,3017,4,,Ability
Thundara,3018,4,,Ability
Blizzara,3019,4,,Ability
Bio,301A,5,,Ability
Aeroga,301B,6,,Ability
Firaga,301C,7,,Ability
Thundaga,301D,7,,Ability
Blizzaga,301E,7,,Ability
Shock,301F,8,,Ability
Scourge,3020,8,,Ability
Flare,3021,8,,Ability
Ardor,3022,8,,Ability
Scathe,3023,9,,Ability
Haste,3024,4,,Ability
Float,3025,4,,Ability
Hastega,3026,8,,Ability
Slow,3027,1,,Ability
Immobilize,3028,2,,Ability
Disable,3029,3,,Ability
Bleed,302A,4,,Ability
Break,302B,4,,Ability
Stop,302C,4,,Ability
Slowga,302D,5,,Ability
Countdown,302E,5,,Ability
Reflect,302F,4,,Ability
Reflectga,3030,7,,Ability
Balance,3031,5,,Ability
Warp,3032,6,,Ability
Protect,3033,3,,Ability
Shell,3034,3,,Ability
Bravery,3035,6,,Ability
Faith,3036,6,,Ability
Protectga,3037,8,,Ability
Shellga,3038,8,,Ability
Blind,3039,2,,Ability
Oil,303A,3,,Ability
Poison,303B,1,,Ability
Silence,303C,2,,Ability
Sleep,303D,2,,Ability
Blindga,303E,5,,Ability
Toxify,303F,5,,Ability
Silencega,3040,5,,Ability
Sleepga,3041,5,,Ability
Reverse,3042,8,,Ability
Berserk,3043,6,,Ability
Death,3044,7,,Ability
Confuse,3045,6,,Ability
Decoy,3046,5,,Ability
Vanish,3047,3,,Ability
Vanishga,3048,5,,Ability
Drain,3049,4,,Ability
Syphon,304A,6,,Ability
Bubble,304B,7,,Ability
Dark,304C,2,,Ability
Darkra,304D,4,,Ability
Darkga,304E,6,,Ability
Gravity,304F,3,,Ability
Graviga,3050,6,,Ability
First Aid,4000,1,,Ability
Shades of Black,4001,4,,Ability
Horology,4002,3,,Ability
Stamp,4003,5,,Ability
Achilles,4004,5,,Ability
Charge,4005,2,,Ability
Infuse,4006,6,,Ability
Souleater,4007,4,,Ability
Wither,4008,7,,Ability
Addle,4009,7,,Ability
Bonecrusher,400A,5,,Ability
Steal,400B,1,,Ability
Telekinesis,400C,6,,Ability
Expose,400D,7,,Ability
Shear,400E,7,,Ability
Charm,400F,2,,Ability
Revive,4010,5,,Ability
Sight Unseeing,4011,2,,Ability
Numerology,4012,3,,Ability
Libra,4013,1,,Ability
Poach,4014,4,,Ability
1000 Needles,4015,6,,Ability
Traveler,4016,4,,Ability
Gil Toss,4017,5,,Ability
Teleport Stone,2000,0,,Item
Earth Stone,2020,0,,Loot
Wind Stone,2021,0,,Loot
Water Stone,2022,0,,Loot
Fire Stone,2023,0,,Loot
Ice Stone,2024,0,,Loot
Storm Stone,2025,0,,Loot
Holy Stone,2026,0,,Loot
Dark Stone,2027,0,,Loot
Earth Magicite,2028,0,,Loot
Wind Magicite,2029,0,,Loot
Water Magicite,202A,0,,Loot
Fire Magicite,202B,0,,Loot
Ice Magicite,202C,0,,Loot
Storm Magicite,202D,0,,Loot
Holy Magicite,202E,0,,Loot
Dark Magicite,202F,0,,Loot
Earth Crystal,2030,0,,Loot
Wind Crystal,2031,0,,Loot
Water Crystal,2032,0,,Loot
Fire Crystal,2033,0,,Loot
Ice Crystal,2034,0,,Loot
Storm Crystal,2035,0,,Loot
Holy Crystal,2036,0,,Loot
Dark Crystal,2037,0,,Loot
Aries Gem,2038,0,,Loot
Taurus Gem,2039,0,,Loot
Gemini Gem,203A,0,,Loot
Cancer Gem,203B,0,,Loot
Leo Gem,203C,0,,Loot
Virgo Gem,203D,0,,Loot
Libra Gem,203E,0,,Loot
Scorpio Gem,203F,0,,Loot
Sagittarius Gem,2040,0,,Loot
Capricorn Gem,2041,0,,Loot
Aquarius Gem,2042,0,,Loot
Pisces Gem,2043,0,,Loot
Salamand Halcyon,2044,0,,Loot
Mardu Halcyon,2045,0,,Loot
Leshach Halcyon,2046,0,,Loot
Gnoma Halcyon,2047,0,,Loot
Undin Halcyon,2048,0,,Loot
Sylphi Halcyon,2049,0,,Loot
Diakon Halcyon,204A,0,,Loot
Leamonde Halcyon,204B,0,,Loot
Arcana,204C,0,,Loot
High Arcana,204D,0,,Loot
Turtle Shell,204E,0,,Loot
Aged Turtle Shell,204F,0,,Loot
Ancient Turtle Shell,2050,0,,Loot
Molting,2051,0,,Loot
Iron Carapace,2052,0,,Loot
Wyrm Carapace,2053,0,,Loot
Insect Husk,2054,0,,Loot
Battlewyrm Carapace,2055,0,,Loot
Destrier Barding,2056,0,,Loot
Charger Barding,2057,0,,Loot
Fish Scale,2058,0,,Loot
Yensa Scale,2059,0,,Loot
Ichthon Scale,205A,0,,Loot
Ring Wyrm Scale,205B,0,,Loot
Drab Wool,205C,0,,Loot
Braid Wool,205D,0,,Loot
Fine Wool,205E,0,,Loot
Blood Wool,205F,0,,Loot
Rat Pelt,2060,0,,Loot
Snake Skin,2061,0,,Loot
Tyrant Hide,2062,0,,Loot
Quality Hide,2063,0,,Loot
Beastlord Hide,2064,0,,Loot
Tanned Hide,2065,0,,Loot
Tanned Giantskin,2066,0,,Loot
Tanned Tyrant Hide,2067,0,,Loot
Prime Tanned Hide,2068,0,,Loot
Wolf Pelt,2069,0,,Loot
Coeurl Pelt,206A,0,,Loot
Quality Pelt,206B,0,,Loot
Prime Pelt,206C,0,,Loot
Small Feather,206D,0,,Loot
Large Feather,206E,0,,Loot
Chocobo Feather,206F,0,,Loot
Giant Feather,2070,0,,Loot
Bundle of Feathers,2071,0,,Loot
Windslicer Pinion,2072,0,,Loot
Horn,2073,0,,Loot
Pointed Horn,2074,0,,Loot
Solid Horn,2075,0,,Loot
Bat Fang,2076,0,,Loot
Crooked Fang,2077,0,,Loot
Spiral Incisor,2078,0,,Loot
Wyvern Fang,2079,0,,Loot
Cactus Fruit,207A,0,,Loot
Succulent Fruit,207B,0,,Loot
Screamroot,207C,0,,Loot
Malboro Vine,207D,0,,Loot
Malboro Fruit,207E,0,,Loot
Malboro Flower,207F,0,,Loot
Bone Fragment,2080,0,,Loot
Sturdy Bone,2081,0,,Loot
Blood-darkened Bone,2082,0,,Loot
Lumber,2083,0,,Loot
Quality Lumber,2084,0,,Loot
Solid Stone,2085,0,,Loot
Quality Stone,2086,0,,Loot
Iron Scraps,2087,0,,Loot
Iron Ore,2088,0,,Loot
Green Liquid,2089,0,,Loot
Yellow Liquid,208A,0,,Loot
Silver Liquid,208B,0,,Loot
Glass Jewel,208C,0,,Loot
Sky Jewel,208D,0,,Loot
Demon Eyeball,208E,0,,Loot
Demon Feather,208F,0,,Loot
Demon Tail,2090,0,,Loot
Grimoire Togail,2091,0,,Loot
Grimoire Aidhed,2092,0,,Loot
Bomb Ashes,2093,0,,Loot
Bomb Shell,2094,0,,Loot
Book of Orgain,2095,0,,Loot
Book of Orgain-Cent,2096,0,,Loot
Book of Orgain-Mille,2097,0,,Loot
Foul Flesh,2098,0,,Loot
Festering Flesh,2099,0,,Loot
Maggoty Flesh,209A,0,,Loot
Forbidden Flesh,209B,0,,Loot
Feystone,209C,0,,Loot
Pebble,209D,0,,Loot
Broken Sword,209E,0,,Loot
Broken Greataxe,209F,0,,Loot
Broken Spear,20A0,0,,Loot
Bent Staff,20A1,0,,Loot
Moon Ring,20A2,0,,Loot
Bundle of Needles,20A3,0,,Loot
Coeurl Whisker,20A4,0,,Loot
Mallet,20A5,0,,Loot
Tattered Garment,20A6,0,,Loot
Split Armor,20A7,0,,Loot
Chimera Head,20A8,0,,Loot
Rat Tail,20A9,0,,Loot
Slaven Harness,20AA,0,,Loot
Blood-stained Necklace,20AB,0,,Loot
Destrier Mane,20AC,0,,Loot
Wargod's Band,20AD,0,,Loot
Soul of Thamasa,20AE,0,,Loot
Beastlord Horn,20AF,0,,Loot
Vampyr Fang,20B0,0,,Loot
Great Serpent's Fang,20B1,0,,Loot
Death's-Head,20B2,0,,Loot
Ancient Bone,20B3,0,,Loot
Wyrm Bone,20B4,0,,Loot
Tyrant Bone,20B5,0,,Loot
Mirror Scale,20B6,0,,Loot
Emperor Scale,20B7,0,,Loot
Mythril,20B8,0,,Loot
Adamantite,20B9,0,,Loot
Scarletite,20BA,0,,Loot
Damascus Steel,20BB,0,,Loot
Orichalcum,20BC,0,,Loot
Mystletainn,20BD,0,,Loot
Einherjarium,20BE,0,,Loot
Electrum,20BF,0,,Loot
Dorsal Fin,20C0,0,,Loot
Yensa Fin,20C1,0,,Loot
Ring Wyrm Liver,20C2,0,,Loot
Eye of the Hawk,20C3,0,,Loot
Serpent Eye,20C4,0,,Loot
Ambrosia,20C5,0,,Loot
Foul Liquid,20C6,0,,Loot
Putrid Liquid,20C7,0,,Loot
Caramel,20C8,0,,Loot
Slime Oil,20C9,0,,Loot
Unpurified Ether,20CA,0,,Loot
Demon Drink,20CB,0,,Loot
Death Powder,20CC,0,,Loot
Soul Powder,20CD,0,,Loot
Zombie Powder,20CE,0,,Loot
Snowfly,20CF,0,,Loot
Corpse Fly,20D0,0,,Loot
Bat Wing,20D1,0,,Loot
Wyvern Wing,20D2,0,,Loot
Bomb Fragment,20D3,0,,Loot
Throat Wolf Blood,20D4,0,,Loot
Frogspawn,20D5,0,,Loot
Frog Oil,20D6,0,,Loot
Behemoth Steak,20D7,0,,Loot
Gysahl Greens,20D8,0,,Loot
White Incense,20D9,0,,Loot
Antarctic Wind,20DA,0,,Loot
Arctic Wind,20DB,0,,Loot
