ID,Name,Location,Required Items,Traits,Difficulty
z_shp_07_00,Chapter 7 Shop Expansion,Palumpolum,,,1
z_shp_07_06,Chapter 7 Shop Expansion,Palumpolum,,,1
z_shp_07_12,Chapter 7 Shop Expansion,Palumpolum,,,1
tre_pmpm_001,The Metrostile,Palumpolum,,,5
tre_pmpm_002,The Metrostile,Palumpolum,,,5
tre_pmpm_003,The Metrostile,Palumpolum,,,5
tre_pmpm_005,Nutriculture Complex,Palumpolum,,,5
tre_pmpm_012,Nutriculture Complex,Palumpolum,,,5
tre_pmpm_023,Nutriculture Complex,Palumpolum,,,5
tre_pmpm_024,Nutriculture Complex,Palumpolum,,,5
tre_pmpm_004,Nutriculture Complex,Palumpolum,,,5
tre_pmpm_006,Pedestrian Terraces,Palumpolum,,,6
tre_pmpm_008,Pedestrian Terraces,Palumpolum,,,6
tre_pmpm_013,Pedestrian Terraces,Palumpolum,,,6
tre_pmpm_010,Western Promenade,Palumpolum,,,6
tre_pmpm_026,Western Promenade,Palumpolum,,,6
tre_pmpm_019,Western Promenade,Palumpolum,,,6
tre_pmpm_020,Western Promenade,Palumpolum,,,6
tre_pmpm_014,Central Arcade,Palumpolum,,,6
tre_pmpm_025,Central Arcade,Palumpolum,,,6
tre_pmpm_016,Rivera Towers,Palumpolum,,,6
tre_pmpm_017,Rivera Towers,Palumpolum,,,6
tre_pmpm_009,Rivera Towers,Palumpolum,,,6
tre_pmpm_011,Rivera Towers,Palumpolum,,,6
tre_pmpm_018,Rivera Towers,Palumpolum,,,6
tre_pmpm_022,Felix Heights,Palumpolum,,,6
tre_pmpm_021,Felix Heights,Palumpolum,,,6
tre_pmpm_007,The Estheim Residence,Palumpolum,,,6
tre_pmpm_028,The Estheim Residence,Palumpolum,,,6
tre_pmpm_027,The Estheim Residence,Palumpolum,,,6
z_ran_stg_07,Chapter 7 Crystarium Expansion,Palumpolum,,,7
z_shp_08_07,Chapter 8 Shop Expansion,Nautilus,,,1
z_shp_08_10,Chapter 8 Shop Expansion,Nautilus,,,1
tre_nati_005,Park Square,Nautilus,,,1
tre_nati_004,Chocobo Corral,Nautilus,,,1
tre_nati_001,The Mall,Nautilus,,,7
tre_nati_002,The Clock Tower,Nautilus,,,7
tre_nati_003,The Clock Tower,Nautilus,,,7
z_shp_09_00,Chapter 9 Shop Expansion,Palamecia,,,7
z_shp_09_06,Chapter 9 Shop Expansion,Palamecia,,,7
z_shp_09_12,Chapter 9 Shop Expansion,Palamecia,,,7
tre_hiku_001,Short-field Landing Deck,Palamecia,,,7
tre_hiku_002,External Berths,Palamecia,,,8
tre_hiku_003,External Berths,Palamecia,,,8
tre_hiku_004,External Berths,Palamecia,,,8
tre_hiku_005,Crew Corridors,Palamecia,,,8
tre_hiku_006,Crew Corridors,Palamecia,,,8
tre_hiku_007,Crew Corridors,Palamecia,,,8
tre_hiku_009,Cargo Access,Palamecia,,,8
tre_hiku_008,Cargo Access,Palamecia,,,8
tre_hiku_011,Rotary Shaft,Palamecia,,,8
tre_hiku_013,Rotary Shaft,Palamecia,,,8
tre_hiku_012,Rotary Shaft,Palamecia,,,8
tre_hiku_010,Rotary Shaft,Palamecia,,,8
tre_hiku_015,Primary Engine Bay,Palamecia,,,8
tre_hiku_014,Primary Engine Bay,Palamecia,,,8
tre_hiku_016,Starboard Weather Deck,Palamecia,,,8
tre_hiku_017,Starboard Weather Deck,Palamecia,,,8
tre_hiku_018,Starboard Weather Deck,Palamecia,,,8
tre_hiku_019,Starboard Weather Deck,Palamecia,,,8
tre_hiku_020,Starboard Weather Deck,Palamecia,,,8
tre_hiku_023,Bridge Access,Palamecia,,,8
tre_hiku_022,Bridge Access,Palamecia,,,8
tre_hiku_021,Bridge Access,Palamecia,,,8
tre_hiku_024,Bridge Access,Palamecia,,,8
tre_hiku_025,Bridge Access,Palamecia,,,8
tre_hiku_027,Bridge Access,Palamecia,,,8
tre_hiku_026,Bridge Access,Palamecia,,,8
tre_hiku_028,Bridge Access,Palamecia,,,8
z_ran_stg_09,Chapter 9 Crystarium Expansion,Palamecia,,,9
z_shp_10_00,Chapter 10 Shop Expansion,Fifth Ark,,,1
z_shp_10_03,Chapter 10 Shop Expansion,Fifth Ark,,,1
z_shp_10_06,Chapter 10 Shop Expansion,Fifth Ark,,,1
z_shp_10_07,Chapter 10 Shop Expansion,Fifth Ark,,,1
z_shp_10_10,Chapter 10 Shop Expansion,Fifth Ark,,,1
z_shp_10_11,Chapter 10 Shop Expansion,Fifth Ark,,,1
z_ran_lig_sen,Lightning Sentinel Role,Fifth Ark,,,8
z_ran_lig_syn,Lightning Synergist Role,Fifth Ark,,,8
z_ran_lig_sab,Lightning Saboteur Role,Fifth Ark,,,8
z_ran_fan_rav,Fang Ravager Role,Fifth Ark,,,8
z_ran_fan_syn,Fang Synergist Role,Fifth Ark,,,8
z_ran_fan_med,Fang Medic Role,Fifth Ark,,,8
z_ran_saz_sen,Sazh Sentinel Role,Fifth Ark,,,8
z_ran_saz_sab,Sazh Saboteur Role,Fifth Ark,,,8
z_ran_saz_med,Sazh Medic Role,Fifth Ark,,,8
z_ran_hop_sen,Hope Sentinel Role,Fifth Ark,,,8
z_ran_hop_com,Hope Commando Role,Fifth Ark,,,8
z_ran_hop_sab,Hope Saboteur Role,Fifth Ark,,,8
z_ran_van_sen,Vanille Sentinel Role,Fifth Ark,,,8
z_ran_van_com,Vanille Commando Role,Fifth Ark,,,8
z_ran_van_syn,Vanille Synergist Role,Fifth Ark,,,8
z_ran_sno_syn,Snow Synergist Role,Fifth Ark,,,8
z_ran_sno_sab,Snow Saboteur Role,Fifth Ark,,,8
z_ran_sno_med,Snow Medic Role,Fifth Ark,,,8
tre_fark_001,Vestibular Hold,Fifth Ark,,,8
tre_fark_002,Vestibular Hold,Fifth Ark,,,8
tre_fark_003,Lower Traverse,Fifth Ark,,,8
tre_fark_004,Lower Traverse,Fifth Ark,,,8
tre_fark_005,Lower Traverse,Fifth Ark,,,8
tre_fark_015,High Conflux,Fifth Ark,,,9
tre_fark_006,Hibernatorium,Fifth Ark,,,9
tre_fark_007,Inner Circuit,Fifth Ark,,,9
tre_fark_013,Inner Circuit,Fifth Ark,,,9
tre_fark_008,Inner Circuit,Fifth Ark,,,9
tre_fark_009,Inner Circuit,Fifth Ark,,,9
tre_fark_014,Inner Circuit,Fifth Ark,,,9
z_ran_stg_10,Chapter 10 Crystarium Expansion,Fifth Ark,,,10
tre_fark_010,Substratal Conflux,Fifth Ark,,,9
tre_fark_011,The Synthrona,Fifth Ark,,,9
tre_fark_012,Hypogeum,Fifth Ark,,,9
z_shp_11_00,Chapter 11 Shop Expansion,Vallis Media,,,9
z_shp_11_06,Chapter 11 Shop Expansion,Vallis Media,,,9
z_shp_11_07,Chapter 11 Shop Expansion,Vallis Media,,,9
z_shp_11_08,Chapter 11 Shop Expansion,Vallis Media,,,9
z_shp_11_10,Chapter 11 Shop Expansion,Vallis Media,,,9
z_shp_11_11,Chapter 11 Shop Expansion,Vallis Media,,,9
tre_gpcg_001,Fingers of Stone,Vallis Media,,,9
tre_gpcg_002,Atzilut's Tears,Vallis Media,,,9
tre_gpda_001,Central Expanse,Archylte Steppe,,,10
tre_gpda_005,Central Expanse,Archylte Steppe,,,10
tre_gpda_006,Central Expanse,Archylte Steppe,,,10
tre_gpda_003,Central Expanse,Archylte Steppe,,,10
tre_gpda_019,Central Expanse,Archylte Steppe,I(key_field_00),,10
tre_gpda_004,Central Expanse,Archylte Steppe,,,10
tre_gpda_023,Northern Highplain,Archylte Steppe,,,10
tre_gpda_015,Northern Highplain,Archylte Steppe,,,10
tre_gpda_020,Northern Highplain,Archylte Steppe,I(key_field_00),,10
tre_gpda_014,Northern Highplain,Archylte Steppe,,,10
tre_gpda_029,Northern Highplain,Archylte Steppe,,,10
tre_gpda_013,Western Benchland,Archylte Steppe,,,10
tre_gpda_002,Western Benchland,Archylte Steppe,,,10
tre_gpda_030,Western Benchland,Archylte Steppe,,,10
tre_gpda_012,Western Benchland,Archylte Steppe,,,10
tre_gpda_008,Western Benchland,Archylte Steppe,,,10
tre_gpda_009,Western Benchland,Archylte Steppe,,,10
tre_gpda_007,Western Benchland,Archylte Steppe,,,10
tre_gpda_022,The Font of Namva,Archylte Steppe,,,10
tre_gpda_021,The Font of Namva,Archylte Steppe,,,10
tre_gpda_016,Eastern Tors,Archylte Steppe,,,10
tre_gpda_017,Eastern Tors,Archylte Steppe,,,10
tre_gpda_018,Eastern Tors,Archylte Steppe,,,10
tre_gpda_010,Eastern Tors,Archylte Steppe,,,10
tre_gpda_011,Eastern Tors,Archylte Steppe,,,10
tre_gpda_025,Aggra's Pasture,Archylte Steppe,I(key_field_00),,10
tre_gpda_024,Aggra's Pasture,Archylte Steppe,I(key_field_00),,10
tre_gpda_027,The Haerii Achaeopolis,Archylte Steppe,I(key_field_00),,10
tre_gpda_028,The Haerii Achaeopolis,Archylte Steppe,I(key_field_00),,10
tre_gpda_026,The Haerii Achaeopolis,Archylte Steppe,I(key_field_00),,10
tre_gpyu_001,Maw of the Abyss,Mah'habara,,,10
tre_gpyu_016,Maw of the Abyss,Mah'habara,,,10
z_shp_11_02b,Chapter 11 Mah'habara Shop Expansion,Mah'habara,,,10
z_shp_11_03b,Chapter 11 Mah'habara Shop Expansion,Mah'habara,,,10
z_shp_11_06b,Chapter 11 Mah'habara Shop Expansion,Mah'habara,,,10
z_shp_11_12b,Chapter 11 Mah'habara Shop Expansion,Mah'habara,,,10
tre_gpyu_002,The Earthworks,Mah'habara,,,10
tre_gpyu_003,The Earthworks,Mah'habara,,,10
tre_gpyu_011,Twilit Cavern,Mah'habara,,,10
tre_gpyu_004,Twilit Cavern,Mah'habara,,,10
tre_gpyu_005,Dusktide Grotto,Mah'habara,,,10
tre_gpyu_012,Dusktide Grotto,Mah'habara,,,10
tre_gpyu_006,Dusktide Grotto,Mah'habara,,,10
tre_gpyu_007,Dusktide Grotto,Mah'habara,,,10
tre_gpyu_015,An Asylum from Light,Mah'habara,,,10
tre_gpyu_014,An Asylum from Light,Mah'habara,,,10
tre_gpyu_008,An Asylum from Light,Mah'habara,,,10
tre_gpyu_009,An Asylum from Light,Mah'habara,,,10
tre_gpyu_013,An Asylum from Light,Mah'habara,,,10
tre_gpyu_010,Abandoned Dig,Mah'habara,,,10
tre_gpyu_018,Abandoned Dig,Mah'habara,,,10
tre_gpyu_017,Abandoned Dig,Mah'habara,,,10
tre_gptk_001,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_002,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_010,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_008,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_003,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_004,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_005,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_011,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_009,Subterranean Lake,Sulyya Springs,,,10
tre_gptk_006,Ceiling of Sky,Sulyya Springs,,,10
tre_gptk_007,The Skyreach,Sulyya Springs,,,10
tre_gptt_001,The Palisades,Taejin's Tower,,,11
tre_gptt_004,Ground Tier,Taejin's Tower,,,11
tre_gptt_003,Ground Tier,Taejin's Tower,,,11
tre_gptt_002,Ground Tier,Taejin's Tower,,,11
tre_gptt_005,Second Tier,Taejin's Tower,,,11
tre_gptt_018,Third Tier,Taejin's Tower,,,11
tre_gptt_006,Third Tier,Taejin's Tower,,,11
tre_gptt_007,Fourth Tier,Taejin's Tower,,,11
tre_gptt_008,Fourth Tier,Taejin's Tower,,,11
tre_gptt_009,Fourth Tier,Taejin's Tower,,,11
tre_gptt_012,Fifth Tier,Taejin's Tower,,,11
tre_gptt_011,Fifth Tier,Taejin's Tower,,,11
tre_gptt_014,Sixth Tier,Taejin's Tower,,,11
tre_gptt_010,Sixth Tier,Taejin's Tower,,,11
tre_gptt_013,Sixth Tier,Taejin's Tower,,,11
tre_gptt_019,Sixth Tier,Taejin's Tower,,,11
tre_gptt_016,The Cloven Spire,Taejin's Tower,,,11
tre_gptt_015,The Cloven Spire,Taejin's Tower,,,11
tre_gptt_017,Seventh Tier,Taejin's Tower,,,11
tre_gpwo_007,Village Proper,Oerba,,,11
tre_gpwo_001,Village Proper,Oerba,,,11
tre_gpwo_002,Village Proper,Oerba,,,11
tre_gpwo_006,Deserted Schoolhouse,Oerba,,,11
tre_gpwo_003,Deserted Schoolhouse,Oerba,,,11
tre_gpwo_004,Rust-eaten Bridge,Oerba,,,11
tre_gpwo_005,Rust-eaten Bridge,Oerba,,,11
tre_gpwo_008,Rust-eaten Bridge,Oerba,,,11
z_ran_stg_11,Chapter 11 Crystarium Expansion,Oerba,,,12
tre_gpst_001,The Tsubaddran Highlands,Yaschas Massif,,,10
tre_gpst_005,The Ascendant Scrap,Yaschas Massif,,,10
tre_gpst_006,The Ascendant Scrap,Yaschas Massif,,,10
tre_gpst_007,The Ascendant Scrap,Yaschas Massif,,,10
tre_gpst_008,The Ascendant Scrap,Yaschas Massif,,,10
tre_gpst_002,The Tsumitran Basin,Yaschas Massif,,,10
tre_gpst_003,The Tsumitran Basin,Yaschas Massif,,,10
tre_gpst_004,The Tsumitran Basin,Yaschas Massif,,,10
tre_gpst_009,The Pass of Paddra,Yaschas Massif,,,10
tre_gpst_010,The Paddraean Archaeopolis,Yaschas Massif,,,10
tre_gpst_012,The Paddraean Archaeopolis,Yaschas Massif,,,10
tre_gpst_011,The Paddraean Archaeopolis,Yaschas Massif,,,10
tre_gpoc_005,A Dance of Shadow,Faultwarrens,,,13
tre_gpoc_001,A Dance of Shadow,Faultwarrens,,,13
tre_gpoc_002,Via Lunae,Faultwarrens,,,13
tre_gpoc_004,Via Solis,Faultwarrens,,,13
tre_gpoc_009,The Gaian Path,Faultwarrens,,,13
tre_gpoc_006,The Sylphid Path,Faultwarrens,,,13
tre_gpoc_007,The Nereid Path,Faultwarrens,,,13
z_shp_12_03,Chapter 12 Shop Expansion,Eden,,,11
z_shp_12_06,Chapter 12 Shop Expansion,Eden,,,11
tre_eden_001,Grand Prix Circuit,Eden,,,11
tre_eden_002,Grand Prix Circuit,Eden,,,11
tre_eden_003,Expressway,Eden,,,11
tre_eden_004,Expressway,Eden,,,11
tre_eden_005,Ramuh Interchange,Eden,,,12
tre_eden_006,Ramuh Interchange,Eden,,,12
tre_eden_007,Ramuh Interchange,Eden,,,12
tre_eden_008,Siren Park,Eden,,,12
tre_eden_010,Siren Park,Eden,,,12
tre_eden_011,Siren Park,Eden,,,12
tre_eden_009,Siren Park,Eden,,,12
tre_eden_012,Leviathan Plaza,Eden,,,12
tre_eden_018,Leviathan Plaza,Eden,,,12
tre_eden_017,Leviathan Plaza,Eden,,,12
tre_eden_013,Leviathan Plaza,Eden,,,12
tre_eden_014,Leviathan Plaza,Eden,,,12
tre_eden_015,Edenhall Grand Foyer,Eden,,,12
tre_eden_016,Edenhall,Eden,,,12
tre_eden_019,Edenhall,Eden,,,12
z_shp_13_03,Chapter 13 Shop Expansion,Orphan's Cradle,,,1
tre_lasd_001,The Tesseracts 1st Section,Orphan's Cradle,,,13
tre_lasd_002,The Tesseracts 1st Section,Orphan's Cradle,,,13
tre_lasd_003,The Tesseracts 1st Section,Orphan's Cradle,,,13
tre_lasd_005,The Tesseracts 2nd Section,Orphan's Cradle,,,13
tre_lasd_008,The Tesseracts 2nd Section,Orphan's Cradle,,,13
tre_lasd_009,The Tesseracts 2nd Section,Orphan's Cradle,,,13
tre_lasd_006,The Tesseracts 2nd Section,Orphan's Cradle,,,13
tre_lasd_007,The Tesseracts 3rd Section,Orphan's Cradle,,,13
tre_lasd_012,The Tesseracts 3rd Section,Orphan's Cradle,,,13
tre_lasd_004,The Tesseracts 3rd Section,Orphan's Cradle,,,13
tre_lasd_010,The Tesseracts 3rd Section,Orphan's Cradle,,,13
tre_lasd_011,The Tesseracts 3rd Section,Orphan's Cradle,,,13
tre_lasd_013,The Tesseracts 4th Section,Orphan's Cradle,,,13
tre_lasd_014,The Tesseracts 4th Section,Orphan's Cradle,,,13
tre_lasd_015,The Tesseracts 4th Section,Orphan's Cradle,,,13
tre_lasd_016,The Tesseracts 4th Section,Orphan's Cradle,,,13
tre_lasd_017,The Tesseracts 4th Section,Orphan's Cradle,,,13
tre_lasd_018,The Tesseracts 5th Section,Orphan's Cradle,,,13
tre_lasd_019,The Tesseracts 5th Section,Orphan's Cradle,,,13
tre_lasd_021,The Tesseracts 5th Section,Orphan's Cradle,,,13
tre_lasd_020,The Tesseracts 5th Section,Orphan's Cradle,,,13
tre_lasd_022,The Tesseracts 6th Section,Orphan's Cradle,,,13
tre_lasd_023,The Tesseracts 6th Section,Orphan's Cradle,,,13
tre_lasd_024,The Narthex,Orphan's Cradle,,,13
z_ran_stg_13,Chapter 13 Crystarium Expansion,Orphan's Cradle,,Missable,14
tre_ms_n001_01,Mission 1: Ectopudding,Archylte Steppe,,Mission,10
tre_ms_n001_02,Mission 1: Ectopudding Repeat,Archylte Steppe,,Mission|Missable,10
tre_ms_n002_01,Mission 2: Uridimmu,Archylte Steppe,,Mission,10
tre_ms_n002_02,Mission 2: Uridimmu Repeat,Archylte Steppe,,Mission|Missable,10
tre_ms_n003_01,Mission 3: Ugallu,Yaschas Massif,,Mission,10
tre_ms_n003_02,Mission 3: Ugallu Repeat,Yaschas Massif,,Mission|Missable,10
tre_ms_t001_01,Mission 4: Adroa,Yaschas Massif,,Mission,10
tre_ms_t001_02,Mission 4: Adroa Repeat,Yaschas Massif,,Mission|Missable,10
tre_ms_n004_01,Mission 5: Edimmu,Yaschas Massif,,Mission,10
tre_ms_n004_02,Mission 5: Edimmu Repeat,Yaschas Massif,,Mission|Missable,10
tre_ms_t002_01,Mission 6: Munchkin Maestro,Yaschas Massif,,Mission,10
tre_ms_t002_02,Mission 6: Munchkin Maestro Repeat,Yaschas Massif,,Mission|Missable,10
tre_ms_k001_01,Mission 7: Bituitus,Yaschas Massif,,Mission,11
tre_ms_k001_02,Mission 7: Bituitus Repeat,Yaschas Massif,,Mission|Missable,11
tre_ms_t003_01,Mission 8: Rakshasa,Vallis Media,,Mission,10
tre_ms_t003_02,Mission 8: Rakshasa Repeat,Vallis Media,,Mission|Missable,10
tre_ms_t004_01,Mission 9: Kaiser Behemoth,Archylte Steppe,,Mission,10
tre_ms_t004_02,Mission 9: Kaiser Behemoth Repeat,Archylte Steppe,,Mission|Missable,10
tre_ms_n005_01,Mission 10: Ambling Bellows,Archylte Steppe,,Mission,10
tre_ms_n005_02,Mission 10: Ambling Bellows Repeat,Archylte Steppe,,Mission|Missable,10
tre_ms_n006_01,Mission 11: Adroa,Archylte Steppe,,Mission,10
tre_ms_n006_02,Mission 11: Adroa Repeat,Archylte Steppe,,Mission|Missable,10
tre_ms_k002_01,Mission 12: Geiseric,Archylte Steppe,,Mission,11
tre_ms_k002_02,Mission 12: Geiseric Repeat,Archylte Steppe,,Mission|Missable,11
tre_ms_n008_01,Mission 13: Goblin Chieftain,Archylte Steppe,,Mission,11
tre_ms_n008_02,Mission 13: Goblin Chieftain Repeat,Archylte Steppe,,Mission|Missable,11
tre_ms_n007_01,Mission 14: Sahagin,Archylte Steppe,,Mission,11
tre_ms_n007_02,Mission 14: Sahagin Repeat,Archylte Steppe,,Mission|Missable,11
