ID,Index,Name,Possible Locations,Additional Required Locations,Required Items,Traits
search_gtda_003,1,15th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_gtda_003,2,15th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_gtda_004,1,13th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200|h_gt_AD0200,AND(I(key_para50f|1)|I(key_para52f|1)|I(key_paraxxf|1)),
search_gtda_004,2,13th Floor Search Item,h_gt_AD0300,h_cs_NA0000|h_gw_AD0200|h_gt_AD0200,AND(I(key_para50f|1)|I(key_para52f|1)|I(key_paraxxf|1)),
search_gwca_001,1,Village Proper Search Item,h_gw_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gwca_001,2,Village Proper Search Item,h_gw_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gwca_002,1,Ashensand Search Item,h_gw_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gwca_002,2,Ashensand Search Item,h_gw_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gwca_003,0,Village Proper Tree Search Item,h_gw_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_001,1,Pass of Paddra Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_001,2,Pass of Paddra Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_002,1,Pass of Paddra Chasm Near Chocolina Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_002,2,Pass of Paddra Chasm Near Chocolina Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_003,1,Paddreaean Archaeopolis Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_003,2,Paddreaean Archaeopolis Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_003,3,Paddreaean Archaeopolis Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_004,1,Paddreaean Archaeopolis Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_004,2,Paddreaean Archaeopolis Search Item,h_gy_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_005,1,Paddreaean Archaeopolis Top Search Item,h_gh_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_gyaa_005,2,Paddreaean Archaeopolis Top Search Item,h_gh_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_001,0,NORA House Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_001,2,NORA House Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_002,1,Town Square Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_002,2,Town Square Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_003,1,Winding Way Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_003,2,Winding Way Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_004,1,Meteorite Impact Site Gate Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_004,2,Meteorite Impact Site Gate Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_004,3,Meteorite Impact Site Gate Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_005,0,Tidal Shallows Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_005,2,Tidal Shallows Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_006,0,NORA House Roof Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_006,2,NORA House Roof Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_007,0,Pier Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_007,2,Pier Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmaa_007,3,Pier Search Item,h_hm_AD0003,h_cs_NA0000|h_gw_AD0200,,
search_hmha_001,1,Town Square Search Item,h_hm_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_hmha_001,2,Town Square Search Item,h_hm_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_hmha_002,1,Town Square Search Item,h_hm_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_hmha_002,2,Town Square Search Item,h_hm_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_hmha_003,1,Town Square Search Item,h_hm_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_hmha_003,2,Town Square Search Item,h_hm_AD0700,h_cs_NA0000|h_gw_AD0200,,
search_snda_001,1,Warpwood Search Item,h_sn_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_snda_001,2,Warpwood Search Item,h_sn_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_snda_001,3,Warpwood Search Item,h_sn_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_snda_002,0,Animal Trail South Miniflan Search Item,h_sn_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_snda_002,2,Animal Trail South Miniflan Search Item,h_sn_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_snda_002,3,Animal Trail South Miniflan Search Item,h_sn_AD0300,h_cs_NA0000|h_gw_AD0200,,
search_spza_001,1,Throne of the Goddess Search Item,h_sp_NA0001,h_cs_NA0000|h_gw_AD0200|h_gh_AD0010|h_sn_AD0300|h_gd_NA0000|h_cl_NA0000,AND(I(opt_snda_re|1)|I(opt_ghaa_re|1)),
search_spza_001,2,Throne of the Goddess Search Item,h_sp_NA0001,h_cs_NA0000|h_gw_AD0200|h_gh_AD0010|h_sn_AD0300|h_gd_NA0000|h_cl_NA0000,AND(I(opt_snda_re|1)|I(opt_ghaa_re|1)),
search_vpba_001,1,Wrack and Ruin Search Item,h_vp_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_vpba_001,2,Wrack and Ruin Search Item,h_vp_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_vpba_002,1,Wrack and Ruin Search Item,h_vp_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_vpba_002,2,Wrack and Ruin Search Item,h_vp_AD0010,h_cs_NA0000|h_gw_AD0200,,
search_vpba_003,1,Another Man's Treasure Search Item,h_vp_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_vpba_003,2,Another Man's Treasure Search Item,h_vp_AD0200,h_cs_NA0000|h_gw_AD0200,,
search_vpba_003,3,Another Man's Treasure Search Item,h_vp_AD0200,h_cs_NA0000|h_gw_AD0200,,
