ID,Name,Location,Location ID,Charasets,Traits,Charaset Limit,Variety Limit
btsc03630,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03631,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03640,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03650,,Yaschas 100,h_gy_AD0100,,Info,,
btsc03700,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03701,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03710,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03711,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03720,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03730,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03731,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03740,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03741,,Yaschas 110,h_gy_AD0200,,Info,,
btsc03800,Gorgyra,Yaschas 10/Yaschas 1X,h_gy_AD0010|h_gh_AD0010,,Info|Boss,,
btsc03810,Rare (Ugallu),Yaschas 110,h_gy_AD0200,,Info|Boss,,
btsc03900,Aloedai,Yaschas 10,h_gy_AD0010,chset_gyaa_020,Boss,39,
# Oerba (04)
btsc04001,,Oerba 200,h_gw_AD0200,,Info,,
btsc04002,,Oerba 200,h_gw_AD0200,,Info,,
btsc04011,,Oerba 200,h_gw_AD0200,,Info,,
btsc04012,,Oerba 200,h_gw_AD0200,,Info,,
btsc04013,,Oerba 200,h_gw_AD0200,,Info,,
btsc04022,,Oerba 200/Oerba 300/Oerba 400/Archylte,h_gw_AD0200|h_gw_AD0300|h_gw_AD0400|h_gd_NA0000,,Info,,
btsc04023,,Oerba 200/Archylte,h_gw_AD0200|h_gd_NA0000,,Info,,
btsc04024,,Oerba 400,h_gw_AD0400,,Info,,
btsc04033,,Oerba 400,h_gw_AD0400,,Info,,
btsc04034,,Oerba 400,h_gw_AD0400,,Info,,
btsc04041,,Archylte,h_gd_NA0000,,Info,,
btsc04042,,Archylte/Void Beyond,h_gd_NA0000|h_sp_NA0001|h_sp_NA0100,,Info,,
btsc04043,,Oerba 200/Void Beyond,h_gw_AD0200|h_sp_NA0001|h_sp_NA0100,,Info,,
btsc04044,,Oerba 200,h_gw_AD0200,,Info,,
btsc04051,,Void Beyond,h_sp_NA0001|h_sp_NA0100,,Info,,
btsc04052,,Void Beyond,h_sp_NA0001|h_sp_NA0100,,Info,,
btsc04061,,Oerba 200/Oerba 300/Archylte,h_gw_AD0200|h_gw_AD0300|h_gd_NA0000,,Info,,
btsc04062,,Oerba 200/Oerba 300/Oerba 400/Archylte,h_gw_AD0200|h_gw_AD0300|h_gw_AD0400|h_gd_NA0000,,Info,,
btsc04070,Rare (Lucidon),Oerba 200,h_gw_AD0200,,Info,,
btsc04103,,Oerba 300,h_gw_AD0300,,Info,,
btsc04104,,Oerba 300,h_gw_AD0300,,Info,,
btsc04105,,Oerba 300,h_gw_AD0300,,Info,,
btsc04106,,Oerba 300,h_gw_AD0300,,Info,,
btsc04111,,Oerba 300,h_gw_AD0300,,Info,,
btsc04120,Rare (Pink Lily x 2),Oerba 300,h_gw_AD0300,,Info,,
btsc04130,Rare (White Chocobo),Oerba 300,h_gw_AD0300,,Info,,
btsc04200,Raspatil,Oerba 400,h_gw_AD0400,,Info|Superboss,,
btsc04210,,Oerba 400,h_gw_AD0400,,Info,,
btsc04211,,Oerba 400,h_gw_AD0400,,Info,,
btsc04220,,Oerba 400,h_gw_AD0400,,Info,,
btsc04221,,Oerba 400,h_gw_AD0400,,Info,,
btsc04222,,Oerba 400,h_gw_AD0400,,Info,,
btsc04500,,Oerba 200/Oerba 300/Oerba 400/Archylte,h_gw_AD0200|h_gw_AD0300|h_gw_AD0400|h_gd_NA0000,,Info,,
btsc04501,,Oerba 200/Oerba 300/Oerba 400/Archylte,h_gw_AD0200|h_gw_AD0300|h_gw_AD0400|h_gd_NA0000,,Info,,
btsc04505,,Oerba 200/Archylte,h_gw_AD0200|h_gd_NA0000,,Info,,
btsc04510,,Oerba 200,h_gw_AD0200,,Info,,
btsc04515,,Oerba 200,h_gw_AD0200,,Info,,
btsc04520,,Oerba 200/Oerba 400/Archylte,h_gw_AD0200|h_gw_AD0400|h_gd_NA0000,,Info,,
btsc04521,,Oerba 200/Oerba 400/Archylte,h_gw_AD0200|h_gw_AD0400|h_gd_NA0000,,Info,,
btsc04522,,Oerba 200,h_gw_AD0200,,Info,,
btsc04530,,Oerba 200/Archylte/Void Beyond,h_gw_AD0200|h_gd_NA0000|h_sp_NA0001|h_sp_NA0100,,Info,,
btsc04535,,Oerba 200,h_gw_AD0200,,Info,,
btsc04540,,Oerba 200,h_gw_AD0200,,Info,,
btsc04541,,Oerba 200,h_gw_AD0200,,Info,,
btsc04542,,Oerba 200,h_gw_AD0200,,Info,,
btsc04600,,Oerba 300,h_gw_AD0300,,Info,,
btsc04601,,Oerba 300,h_gw_AD0300,,Info,,
btsc04701,,Oerba 400,h_gw_AD0400,,Info,,
btsc04702,,Oerba 400,h_gw_AD0400,,Info,,
btsc04702,,Oerba 400,h_gw_AD0400,,Info,,
btsc04711,,Oerba 400,h_gw_AD0400,,Info,,
btsc04712,,Oerba 400,h_gw_AD0400,,Info,,
btsc04721,,Oerba 400,h_gw_AD0400,,Info,,
btsc04730,Rare (Zaghnal + Forked Cat),Oerba 400,h_gw_AD0400,,Info,,
btsc04900,Caius Oerba,Oerba 200,h_gw_AD0200,chset_gwca_def,Boss,39,
btsc04909,Caius Oerba Paradox,Oerba 200,h_gw_AD0200,chset_gwca_def,Boss,39,
# Sunleth (05)
btsc05003,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05004,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05013,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05014,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05021,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05040,,Archylte,h_gd_NA0000,,Info,,
btsc05042,,Sunleth 300/Archylte,h_sn_AD0300|h_gd_NA0000,,Info,,
btsc05043,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05044,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05050,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05051,,Sunleth 300/Sunleth 400,h_sn_AD0300|h_sn_AD0400,,Info,,
btsc05052,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05072,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05073,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05074,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05091,,Sunleth 300/Archylte,h_sn_AD0300|h_gd_NA0000,,Info,,
btsc05092,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05101,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05102,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05110,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05111,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05200,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05201,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05220,Rare (Illuyankas),Sunleth 400,h_sn_AD0400,,Info,,
btsc05500,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05501,,Sunleth 300/Sunleth 400,h_sn_AD0300|h_sn_AD0400,,Info,,
btsc05502,,Sunleth 300/Sunleth 400,h_sn_AD0300|h_sn_AD0400,,Info,,
btsc05504,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05510,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05511,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05520,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05521,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05525,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05530,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05531,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05541,,Archylte,h_gd_NA0000,,Info,,
btsc05550,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05551,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05555,,Sunleth 300,h_sn_AD0300,,Info,,
btsc05600,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05601,,Sunleth 400,h_sn_AD0400,,Info,,
btsc05800,Colored Miniflans,Sunleth 400,h_sn_AD0400,chset_snea_def|chset_snea_load,Miniboss,39,
btsc05920,Mutantomato,Sunleth 300,h_sn_AD0300,chset_snda_002,Boss,39,
btsc05950,Miniflan x3 (Thundering Artefact),Sunleth 300,h_sn_AD0300,chset_snda_npc,Miniboss,32,2
btsc05960,Miniflan x5 (Combat Artefact),Sunleth 300,h_sn_AD0300,chset_snda_npc,Miniboss,32,2
# Coliseum (06)
btsc06100,Lightning,Coliseum DLC,h_cl_NA0001,chset_clzb_lig,Boss,39,
btsc06110,Lightning & Amodar,Coliseum DLC,h_cl_NA0001,chset_clzb_lig,Boss,39,
btsc06500,Gilgamesh 1,Coliseum DLC,h_cl_NA0001,chset_clzb_gil,Boss,39,
btsc06510,Gilgamesh 2,Coliseum DLC,h_cl_NA0001,chset_clzb_gil,Boss,39,
btsc06600,Snow,Coliseum DLC,h_cl_NA0001,chset_clzb_snw,Boss,39,
# Archylte (07)
btsc07001,,Archylte,h_gd_NA0000,,Info,,
btsc07002,,Archylte,h_gd_NA0000,,Info,,
btsc07003,,Archylte,h_gd_NA0000,,Info,,
btsc07004,,Archylte,h_gd_NA0000,,Info,,
btsc07021,,Archylte,h_gd_NA0000,,Info,,
btsc07022,,Archylte,h_gd_NA0000,,Info,,
btsc07030,,Archylte,h_gd_NA0000,,Info,,
btsc07031,,Archylte,h_gd_NA0000,,Info,,
btsc07032,,Archylte,h_gd_NA0000,,Info,,
btsc07040,Rare (Vouivre),Archylte,h_gd_NA0000,,Info,,
btsc07050,Rare (Reaver),Archylte,h_gd_NA0000,,Info,,
btsc07062,Rare (Flangonzola),Archylte,h_gd_NA0000,,Info,,
btsc07090,Rare (Chocobo),Archylte,h_gd_NA0000,,Info,,
btsc07101,,Archylte,h_gd_NA0000,,Info,,
btsc07102,,Archylte,h_gd_NA0000,,Info,,
btsc07103,,Archylte,h_gd_NA0000,,Info,,
btsc07104,,Archylte,h_gd_NA0000,,Info,,
btsc07120,Rare (Red Chocobo),Archylte,h_gd_NA0000,,Info,,
btsc07131,,Archylte,h_gd_NA0000,,Info,,
btsc07132,,Archylte,h_gd_NA0000,,Info,,
btsc07133,,Archylte,h_gd_NA0000,,Info,,
btsc07151,,Archylte,h_gd_NA0000,,Info,,
btsc07152,,Archylte,h_gd_NA0000,,Info,,
btsc07162,,Archylte,h_gd_NA0000,,Info,,
btsc07163,,Archylte,h_gd_NA0000,,Info,,
btsc07173,,Archylte,h_gd_NA0000,,Info,,
btsc07174,,Archylte,h_gd_NA0000,,Info,,
btsc07181,,Archylte,h_gd_NA0000,,Info,,
btsc07182,,Archylte,h_gd_NA0000,,Info,,
btsc07192,,Archylte,h_gd_NA0000,,Info,,
btsc07202,,Archylte,h_gd_NA0000,,Info,,
btsc07301,,Archylte,h_gd_NA0000,,Info,,
btsc07302,,Archylte,h_gd_NA0000,,Info,,
btsc07303,,Archylte,h_gd_NA0000,,Info,,
btsc07320,Rare (Blue Chocobo),Archylte,h_gd_NA0000,,Info,,
btsc07332,,Archylte,h_gd_NA0000,,Info,,
btsc07333,,Archylte,h_gd_NA0000,,Info,,
btsc07334,,Archylte,h_gd_NA0000,,Info,,
btsc07335,,Archylte,h_gd_NA0000,,Info,,
btsc07344,,Archylte,h_gd_NA0000,,Info,,
btsc07363,,Archylte,h_gd_NA0000,,Info,,
btsc07382,,Archylte,h_gd_NA0000,,Info,,
btsc07390,,Archylte,h_gd_NA0000,,Info,,
btsc07401,,Archylte,h_gd_NA0000,,Info,,
btsc07402,,Archylte,h_gd_NA0000,,Info,,
btsc07411,,Archylte,h_gd_NA0000,,Info,,
btsc07412,,Archylte,h_gd_NA0000,,Info,,
btsc07413,,Archylte,h_gd_NA0000,,Info,,
btsc07420,,Archylte,h_gd_NA0000,,Info,,
btsc07421,,Archylte,h_gd_NA0000,,Info,,
btsc07430,,Archylte,h_gd_NA0000,,Info,,
btsc07431,,Archylte,h_gd_NA0000,,Info,,
btsc07432,,Archylte,h_gd_NA0000,,Info,,
btsc07440,Rare (Malebranche),Archylte,h_gd_NA0000,,Info,,
btsc07450,Rare (Fomoire),Archylte,h_gd_NA0000,,Info,,
btsc07502,,Archylte,h_gd_NA0000,,Info,,
btsc07504,,Archylte,h_gd_NA0000,,Info,,
btsc07505,,Archylte,h_gd_NA0000,,Info,,
btsc07510,,Archylte,h_gd_NA0000,,Info,,
btsc07511,,Archylte,h_gd_NA0000,,Info,,
btsc07520,,Archylte,h_gd_NA0000,,Info,,
btsc07600,,Archylte,h_gd_NA0000,,Info,,
btsc07601,,Archylte,h_gd_NA0000,,Info,,
btsc07606,Rare (Major Moblin + Moblin x 3),Archylte,h_gd_NA0000,,Info,,
btsc07610,,Archylte,h_gd_NA0000,,Info,,
btsc07611,,Archylte,h_gd_NA0000,,Info,,
btsc07612,,Archylte,h_gd_NA0000,,Info,,
btsc07620,,Archylte,h_gd_NA0000,,Info,,
btsc07622,,Archylte,h_gd_NA0000,,Info,,
btsc07623,,Archylte,h_gd_NA0000,,Info,,
btsc07630,,Archylte,h_gd_NA0000,,Info,,
btsc07700,,Archylte,h_gd_NA0000,,Info,,
btsc07701,,Archylte,h_gd_NA0000,,Info,,
btsc07702,,Archylte,h_gd_NA0000,,Info,,
btsc07712,,Archylte,h_gd_NA0000,,Info,,
btsc07713,,Archylte,h_gd_NA0000,,Info,,
btsc07721,,Archylte,h_gd_NA0000,,Info,,
btsc07723,,Archylte,h_gd_NA0000,,Info,,
btsc07724,,Archylte,h_gd_NA0000,,Info,,
btsc07725,,Archylte,h_gd_NA0000,,Info,,
btsc07726,,Archylte,h_gd_NA0000,,Info,,
btsc07727,,Archylte,h_gd_NA0000,,Info,,
btsc07800,Long Gui,Archylte,h_gd_NA0000,chset_gdza_p2h,Superboss,39,
btsc07810,Immortal,Archylte,h_gd_NA0000,chset_gdza_p2s,Miniboss,39,
btsc07820,Ochu,Archylte,h_gd_NA0000,chset_gdza_p3r,Miniboss,39,
btsc07830,Yomi,Archylte,h_gd_NA0000,chset_gdza_p3t,Superboss,39,
btsc07850,Gigantuar,Archylte,h_gd_NA0000,,Info|Miniboss,,
btsc07855,Rare (Metal Gigantuar),Archylte,h_gd_NA0000,,Info,,
btsc07860,Rare (Cactuar),Archylte,h_gd_NA0000,,Info,,
btsc07865,Rare (Flowering Cactuar),Archylte,h_gd_NA0000,,Info,,
btsc07870,Rare (Metallicactuar),Bodhum 700/Dying World 700/Void Beyond,h_hm_AD0700|h_dd_AD0700|h_sp_NA0001|h_sp_NA0100,,Info,,
btsc07875,Rare (Cactuaroni),Archylte,h_gd_NA0000,,Info,,
# Academia (08)
btsc08000,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08001,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08002,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08003,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08010,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08011,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08012,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08013,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08014,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08020,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08021,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08022,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08023,,Academia 400,h_ac_AD0400,chset_acea_001,,39,
btsc08030,,Academia 400,h_ac_AD0400,,Info,,
btsc08031,,Academia 400,h_ac_AD0400,,Info,,
btsc08032,,Academia 400,h_ac_AD0400,chset_acea_001,,39,
btsc08033,,Academia 400,h_ac_AD0400,,Info,,
btsc08040,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08041,,Academia 400,h_ac_AD0400,,Info,,
btsc08050,Geiseric,Academia 400,h_ac_AD0400,chset_acea_002,Miniboss,39,
btsc08501,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08502,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08503,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08510,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08511,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08512,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08513,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08520,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08521,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08522,,Academia 400,h_ac_AD0400,chset_acea_001|chset_acea_002,,39,
btsc08700,,Academia 400,h_ac_AD0400,chset_acea_e030,,39,
btsc08710,,Academia 400,h_ac_AD0400,chset_acea_e060,,39,
btsc08720,,Academia 400,h_ac_AD0400,chset_acea_e060,,39,
# 8800/8810/8820 seem to be some kind of placeholder, not included.
# Augusta (09)
btsc09002,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09004,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09011,,Augusta 200/300,h_gt_AD0200|h_gt_AD0300,chset_gtca_def|chset_gtda_def,,24,
btsc09012,,Augusta 200/300,h_gt_AD0200|h_gt_AD0300,chset_gtca_def|chset_gtda_def,,24,
btsc09021,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09022,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09030,,Augusta 200/300,h_gt_AD0200|h_gt_AD0300,chset_gtca_def|chset_gtda_def,,24,
btsc09031,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
btsc09041,,Augusta 200,h_gt_AD0200,chset_gtca_def,,39,
