In Game ID,Name,Type,Notes,LP Cost,Initial Characters,Contents 1,Contents 2,Contents 3,Contents 4,Contents 5,Contents 6,Contents 7,Contents 8
58,Bows 4,Weapon,Condensed,165,,Traitor's Bow,Yoichi Bow,Perseus Bow,Artemis Bow,,,,
59,Bows 5,Weapon,Condensed ultimate equipment,250,,Sagittarius,Dhanusha,,,,,,
60,Crossbows 1,Weapon,Condensed,30,,Bowgun,Crossbow,Paramina Crossbow,,,,,
61,Crossbows 2,Weapon,Condensed,85,,Recurve Crossbow,Hunting Crossbow,Penetrator Crossbow,,,,,
62,Crossbows 3,Weapon,,115,,Gastrophetes,Tula,,,,,,
63,Guns 1,Weapon,Condensed,55,Balthier,Altair,Capella,Vega,,,,,
64,Guns 2,Weapon,Condensed,90,,Sirius,Betelgeuse,Ras Algethi,,,,,
65,Guns 3,Weapon,Condensed,165,,Aldebaran,Spica,Antares,Arcturus,,,,
66,Guns 4,Weapon,Condensed ultimate equipment,250,,Fomalhaut,Mithuna,,,,,,
67,Axes & Hammers 1,Weapon,Condensed,35,,Handaxe,Iron Hammer,Broadaxe,,,,,
68,Axes & Hammers 2,Weapon,Condensed,70,,War Hammer,Slasher,Sledgehammer,Hammerhead,,,,
69,Axes & Hammers 3,Weapon,Condensed,105,,Francisca,Morning Star,Greataxe,Golden Axe,,,,
70,Axes & Hammers 4,Weapon,Condensed ultimate equipment,200,,Scorpion Tail,Vrscika,,,,,,
71,Daggers 1,Weapon,Condensed,25,Vaan|Penelo,Dagger,Mage Masher,Assassin's Dagger,,,,,
72,Daggers 2,Weapon,Condensed,60,,Chopper,Main Gauche,Gladius,,,,,
73,Daggers 3,Weapon,Condensed,140,,Avenger,Orichalcum Dirk,Platinum Dagger,Zwill Crossblade,,,,
74,Daggers 4,Weapon,,220,,Shikari Nagasa,Mina,,,,,,
75,Rods 1,Weapon,Condensed,25,,Rod,Serpent Rod,Healing Rod,,,,,
76,Rods 2,Weapon,Condensed,110,,Gaia Rod,Power Rod,Empyrean Rod,Holy Rod,,,,
77,Rods 3,Weapon,,130,,Rod of Faith,,,,,,,
78,Staves 1,Weapon,Condensed,20,,Oak Staff,Cherry Staff,,,,,,
79,Staves 2,Weapon,Condensed,45,,Wizard's Staff,Flame Staff,Storm Staff,,,,,
80,Staves 3,Weapon,Condensed,95,,Glacial Staff,Golden Staff,Judicer's Staff,,,,,
81,Staves 4,Weapon,,115,,Staff of the Magi,,,,,,,
82,Maces 1,Weapon,Condensed,30,,Mace,Bronze Mace,,,,,,
83,Maces 2,Weapon,Condensed,50,,Bhuj,Miter,Thorned Mace,,,,,
84,Maces 3,Weapon,Condensed,90,,Chaos Mace,Doom Mace,Zeus Mace,,,,,
85,Maces 4,Weapon,,50,,Grand Mace,Bone of Byblos,,,,,,
86,Measures 1,Weapon,Condensed,50,,Gilt Measure,Arc Scale,,,,,,
87,Measures 2,Weapon,Condensed,90,,Multiscale,Cross Scale,Caliper,,,,,
88,Measures 3,Weapon,,100,,Euclid's Sextant,,,,,,,
89,Hand-bombs 1,Weapon,Condensed,65,,Hornito,Fumarole,Tumulus,Caldera,,,,
90,Hand-bombs 2,Weapon,Condensed ultimate equipment,150,,Volcano,Makara,,,,,,
91,Shields 1,Shield,Condensed,35,Basch|Ashe,Leather Shield,Buckler,Bronze Shield,Round Shield,,,,
92,Shields 2,Shield,Condensed with Shell Shield,50,,Golden Shield,Ice Shield,Shell Shield,Flame Shield,,,,
93,Shields 3,Shield,Condensed,70,,Diamond Shield,Platinum Shield,Dragon Shield,Crystal Shield,,,,
94,Shields 4,Shield,Condensed,115,,Kaiser Shield,Aegis Shield,Demon Shield,Venetian Shield,,,,
95,Shields 5,Shield,Condensed ultimate equipment,250,,Ensanguined Shield,Zodiac Escutcheon,,,,,,
96,Heavy Armor 1,Armor,Condensed,30,Basch|Ashe,Leather Armor,Bronze Helm,Sallet,Leather Armor,Bronze Armor,Scale Armor,,
97,Heavy Armor 2,Armor,Condensed,55,,Iron Helm,Barbut,Winged Helm,Golden Helm,Iron Armor,Linen Cuirass,Chainmail,Golden Armor
98,Heavy Armor 3,Armor,Condensed,90,,Burgonet,Close Helmet,Bone Helm,Diamond Helm,Shielded Armor,Demon Mail,Bone Mail,Diamond Armor
99,Heavy Armor 4,Armor,Condensed,135,,Steel Mask,Platinum Helm,Giant's Helmet,Dragon Helm,Mirror Mail,Platinum Armor,Carabineer Mail,Dragon Mail
100,Heavy Armor 5,Armor,Condensed ultimate equipment,110,,Magepower Shishak,Grand Helm,Maximillian,Grand Armor,,,,
101,Genji Armor,Armor,,190,,Genji Shield,Genji Helm,Genji Armor,Genji Gloves,,,,
102,Light Armor 1,Armor,Condensed,15,Vaan|Balthier|Fran,Leather Cap,Headgear,Headguard,Leather Clothing,Chromed Leathers,Leather Breastplate,,
103,Light Armor 2,Armor,Condensed,30,,Leather Headgear,Horned Hat,Balaclava,Soldier's Cap,Bronze Chestplate,Ringmail,Windbreaker,Heavy Coat
104,Light Armor 3,Armor,Condensed,55,,Green Beret,Red Cap,Headband,Pirate Hat,Survival Vest,Brigandine,Jujitsu Gi,Viking Coat
105,Light Armor 4,Armor,Condensed,90,,Goggle Mask,Adamant Hat,Officer's Hat,Chakra Band,Metal Jerkin,Adamant Vest,Barrel Coat,Power Vest
106,Light Armor 5,Armor,Condensed,135,,Thief's Cap,Gigas Hat,Chaperon,Crown of Laurels,Ninja Gear,Gigas Chestplate,Minerva Bustier,Rubber Suit
107,Light Armor 6,Armor,Condensed ultimate equipment,110,,Renewing Morion,Dueling Mask,Mirage Vest,Brave Suit,,,,
108,Mystic Armor 1,Armor,Condensed,15,Penelo,Cotton Cap,Magick Curch,Pointy Hat,Cotton Shirt,Light Woven Shirt,Silken Shirt,,
109,Mystic Armor 2,Armor,Condensed,30,,Topkapi Hat,Calot Hat,Wizard's Hat,Lambent Hat,Kilimweave Shirt,Shepherd's Bolero,Wizard's Robes,Chanter's Djellaba
110,Mystic Armor 3,Armor,Condensed,55,,Feathered Cap,Mage's Hat,Lamia's Tiara,Sorcerer's Hat,Traveler's Vestment,Mage's Habit,Enchanter's Habit,Sorcerer's Habit
111,Mystic Armor 4,Armor,Condensed,90,,Black Cowl,Astrakhan Hat,Gaia Hat,Hypnocrown,Black Garb,Carmagnole,Maduin Gear,Jade Gown
112,Mystic Armor 5,Armor,Condensed,135,,Gold Hairpin,Celebrant's Miter,Black Mask,White Mask,Gaia Gear,Cleric's Robes,Black Robes,White Robes
113,Mystic Armor 6,Armor,Condensed ultimate equipment,110,,Golden Skullcap,Circlet,Glimmering Robes,Lordly Robes,,,,
114,Accessories 1,Accessory,Condensed,40,Ashe,Orrachea Armlet,Bangle,Firefly,Diamond Armlet,,,,
115,Accessories 2,Accessory,Condensed,65,,Argyle Armlet,Battle Harness,Steel Gorget,Tourmaline Ring,Embroidered Tippet,,,
116,Accessories 3,Accessory,Condensed,90,,Golden Amulet,Leather Gorget,Rose Corsage,Turtleshell Choker,Thief's Cuffs,,,
117,Accessories 4,Accessory,Condensed,120,,Gauntlets,Amber Armlet,Black Belt,Jade Collar,Nishijin Belt,,,
118,Accessories 5,Accessory,Condensed,150,,Pheasant Netsuke,Blazer Gloves,Gillie Boots,Steel Poleyns,Berserker Bracers,,,
119,Accessories 6,Accessory,Condensed,185,,Magick Gloves,Sage's Ring,Agate Ring,Ruby Ring,Bowline Sash,,,
120,Accessories 7,Accessory,Condensed,215,,Bowline Sash,Cameo Belt,Cat-ear Hood,Bubble Belt,Fuzzy Miter,,,
121,Accessories 8,Accessory,Condensed,240,,Sash,Power Armlet,Indigo Pendant,Winged Boots,Opal Ring,,,
122,Accessories 9,Accessory,Condensed,250,,Hermes Sandals,Quasimodo Boots,Nihopalaoa,Germinas Boots,Ring of Renewal,,,
123,Accessories 10,Accessory,,215,,Ribbon,,,,,,,
124,White Magick 1,Magick,Condensed,30,Fran|Ashe|Penelo,Cure,Blindna,Vox,Poisona,,,,
125,White Magick 2,Magick,Condensed,65,,Protect,Shell,Cura,Raise,,,,
126,White Magick 3,Magick,Condensed,90,,Dispel,Stona,Curaga,Regen,,,,
127,White Magick 4,Magick,Condensed,140,,Cleanse,Esuna,Confuse,Faith,,,,
128,White Magick 5,Magick,Condensed,175,,Bravery,Curaja,Dispelga,Arise,,,,
129,White Magick 6,Magick,Condensed,210,,Holy,Esunaga,Protectga,Shellga,,,,
130,White Magick 7,Magick,,155,,Renew,,,,,,,
131,Black Magick 1,Magick,Condensed,30,Fran,Fire,Thunder,Blizzard,Blind,,,,
132,Black Magick 2,Magick,Condensed,65,,Aqua,Silence,Aero,Sleep,,,,
133,Black Magick 3,Magick,Condensed,90,,Fira,Poison,Thundara,Blizzara,,,,
134,Black Magick 4,Magick,Condensed,140,,Bio,Blindga,Aeroga,Silencega,,,,
135,Black Magick 5,Magick,Condensed,175,,Firaga,Thundaga,Blizzaga,Sleepga,,,,
136,Black Magick 6,Magick,Condensed,210,,Toxify,Shock,Scourge,Flare,,,,
137,Black Magick 7,Magick,,155,,Scathe,,,,,,,
138,Time Magick 1,Magick,Condensed,35,,Slow,Immobilize,Reflect,Disable,,,,
139,Time Magick 2,Magick,Condensed,70,,Vanish,Balance,Gravity,Haste,,,,
140,Time Magick 3,Magick,Condensed,100,,Stop,Bleed,Break,Countdown,,,,
141,Time Magick 4,Magick,Condensed,165,,Float,Berserk,Vanishga,Warp,,,,
142,Time Magick 5,Magick,Condensed,210,,Reflectga,Slowga,Graviga,Hastega,,,,
143,Green Magick 1,Magick,Condensed,60,,Decoy,Oil,Drain,,,,,
144,Green Magick 2,Magick,Condensed,130,,Reverse,Bubble,Syphon,,,,,
145,Arcane Magick 1,Magick,,40,,Dark,Darkra,,,,,,
146,Arcane Magick 2,Magick,,50,,Death,Darkga,,,,,,
147,Arcane Magick 3,Magick,,110,,Ardor,,,,,,,
148,Warmage,Augment,,30,,Warmage,,,,,,,
149,Martyr,Augment,,30,,Martyr,,,,,,,
150,Inquisitor,Augment,,30,,Inquisitor,,,,,,,
151,Headsman,Augment,,30,,Headsman,,,,,,,
152,Adrenaline,Augment,,65,,Adrenaline,,,,,,,
153,Spellbreaker,Augment,,65,,Spellbreaker,,,,,,,
154,Focus,Augment,,70,,Focus,,,,,,,
155,Serenity,Augment,,70,,Serenity,,,,,,,
156,Last Stand,Augment,,70,,Last Stand,,,,,,,
157,Spellbound,Augment,,30,,Spellbound,,,,,,,
158,Brawler,Augment,,90,,Brawler,,,,,,,
159,Shield Block 1,Augment,Chance +5%,25,,Shield Block 1,,,,,,,
160,Shield Block 2,Augment,Chance +10%,120,,Shield Block 2,,,,,,,
161,Channeling 1,Augment,Cost -10%,30,,Channeling 1,,,,,,,
162,Channeling 2,Augment,Cost -20%,130,,Channeling 2,,,,,,,
163,Swiftness 1,Augment,Action Time -12%,30,,Swiftness 1,,,,,,,
164,Swiftness 2,Augment,Action Time -24%,130,,Swiftness 2,,,,,,,
165,Remedy Lore 1,Augment,Difficult to condense as the descriptions will overlap,20,,Remedy Lore 1,,,,,,,
166,Remedy Lore 2,Augment,Difficult to condense as the descriptions will overlap,30,,Remedy Lore 2,,,,,,,
167,Remedy Lore 3,Augment,Difficult to condense as the descriptions will overlap,70,,Remedy Lore 3,,,,,,,
168,Potion Lore 1,Augment,Potion +20%,20,,Potion Lore 1,,,,,,,
169,Potion Lore 2,Augment,Potion +70%,105,,Potion Lore 2,,,,,,,
170,Ether Lore 1,Augment,Ether +10%,20,,Ether Lore 1,,,,,,,
171,Ether Lore 2,Augment,Ether +50%,105,,Ether Lore 2,,,,,,,
172,Phoenix Lore 1,Augment,PD +10%,30,,Phoenix Lore 1,,,,,,,
173,Phoenix Lore 2,Augment,PD +20%,140,,Phoenix Lore 2,,,,,,,
174,Battle Lore 1,Augment,STR+4,80,,Battle Lore 1,,,,,,,
175,Battle Lore 2,Augment,STR+4,120,,Battle Lore 2,,,,,,,
176,Battle Lore 3,Augment,STR+4,180,,Battle Lore 3,,,,,,,
177,Battle Lore 4,Augment,STR+4,250,,Battle Lore 4,,,,,,,
178,Magick Lore 1,Augment,MAG+4,80,,Magick Lore 1,,,,,,,
179,Magick Lore 2,Augment,MAG+4,120,,Magick Lore 2,,,,,,,
180,Magick Lore 3,Augment,MAG+4,180,,Magick Lore 3,,,,,,,
181,Magick Lore 4,Augment,MAG+4,250,,Magick Lore 4,,,,,,,
182,HP Lore 1,Augment,HP +110,40,,HP Lore 1,,,,,,,
183,HP Lore 2,Augment,HP +275,80,,HP Lore 2,,,,,,,
184,HP Lore 3,Augment,HP +350,100,,HP Lore 3,,,,,,,
185,HP Lore 4,Augment,HP +500,180,,HP Lore 4,,,,,,,
186,HP Lore 5,Augment,HP +800,215,,HP Lore 5,,,,,,,
187,HP Lore 6,Augment,HP +1000,240,,HP Lore 6,,,,,,,
188,Gambit Slots 1,EssentialGambit,Add 5 gambit slots,50,,Gambit Slot 1,Gambit Slot 2,Gambit Slot 3,Gambit Slot 4,Gambit Slot 5,,,
189,Gambit Slots 2,EssentialGambit,Add 5 gambit slots,100,,Gambit Slot 6,Gambit Slot 7,Gambit Slot 8,Gambit Slot 9,Gambit Slot 10,,,
190,Steal,Technick,,20,Vaan|Balthier|Fran,Steal,,,,,,,
191,Libra,Technick,,25,Basch,Libra,,,,,,,
192,First Aid,Technick,,20,Balthier|Penelo,First Aid,,,,,,,
193,Poach,Technick,,30,,Poach,,,,,,,
194,Charge,Technick,,30,,Charge,,,,,,,
195,Horology,Technick,,50,,Horology,,,,,,,
196,Souleater,Technick,,35,,Souleater,,,,,,,
197,Traveler,Technick,,50,,Traveler,,,,,,,
198,Numerology,Technick,,40,,Numerology,,,,,,,
199,Shear,Technick,,50,,Shear,,,,,,,
200,Achilles,Technick,,40,,Achilles,,,,,,,
201,Gil Toss,Technick,,30,,Gil Toss,,,,,,,
202,Charm,Technick,,30,,Charm,,,,,,,
203,Sight Unseeing,Technick,,40,,Sight Unseeing,,,,,,,
204,Infuse,Technick,,30,,Infuse,,,,,,,
205,Addle,Technick,,50,,Addle,,,,,,,
206,Bonecrusher,Technick,,30,,Bonecrusher,,,,,,,
207,Shades of Black,Technick,,70,,Shades of Black,,,,,,,
208,Stamp,Technick,,40,,Stamp,,,,,,,
209,Expose,Technick,,50,,Expose,,,,,,,
210,Revive,Technick,,40,,Revive,,,,,,,
211,1000 Needles,Technick,,40,,1000 Needles,,,,,,,
212,Wither,Technick,,50,,Wither,,,,,,,
213,Telekinesis,Technick,,80,,Telekinesis,,,,,,,
214,WHM Greatswords 1,Weapon,White Mage Only,50,,Claymore,,,,,,,
215,WHM Greatswords 2,Weapon,White Mage Only,70,,Defender,Save the Queen,,,,,,
216,WHM Daggers,Weapon,White Mage Only,60,,Orichalcum Dirk,Platinum Dagger,,,,,,
217,MCH Time Magick,Magick,Machinist Only,250,,Reflectga,Slowga,Graviga,Hastega,Vanishga,Warp,,
218,MCH Green Magick,Magick,Machinist Only,40,,Decoy,Oil,,,,,,
219,MCH Hand-bombs,Weapon,Condensed ultimate equipment,180,,Caldera,Volcano,Makara,,,,,
220,RDM White Magick 1,Magick,Red Battlemage Only,20,,Vox,Poisona,,,,,,
221,RDM White Magick 2,Magick,Red Battlemage Only,60,,Cleanse,Esuna,,,,,,
222,RDM Heavy Armor,Armor,Red Battlemage Only,210,,Platinum Helm,Giant's Helmet,Dragon Helm,Platinum Armor,Carabineer Mail,Dragon Mail,,
223,RDM Greatswords 1,Weapon,Red Battlemage Only,120,,Claymore,Defender,Save the Queen,,,,,
224,RDM Greatswords 2,Weapon,Red Battlemage Only,80,,Ultima Blade,,,,,,,
225,RDM Greatswords 3,Weapon,Red Battlemage Only,100,,Ragnarok,,,,,,,
226,Red Magick 1,Magick,Red Battlemage Only,50,,Protect,Shell,Aqua,Silence,Slow,Immobilize,,
227,Red Magick 2,Magick,Red Battlemage Only,90,,Cura,Raise,Aero,Sleep,Reflect,,,
228,Red Magick 3,Magick,Red Battlemage Only,145,,Dispel,Stona,Fira,Poison,Disable,,,
229,Red Magick 4,Magick,Red Battlemage Only,170,,Curaga,Regen,Thundara,Blizzara,Vanish,Balance,,
230,KNT White Magick 1,Magick,Knight Only,110,,Curaga,Regen,Cleanse,Esuna,,,,
231,KNT White Magick 2,Magick,Knight Only,150,,Confuse,Faith,Bravery,Curaja,,,,
232,MNK White Magick 1,Magick,Monk Only,30,,Cura,Raise,,,,,,
233,MNK White Magick 2,Magick,Monk Only,80,,Bravery,Curaja,,,,,,
234,MNK White Magick 3,Magick,Monk Only,90,,Dispelga,Arise,,,,,,
235,TIM White Magick,Magick,Time Battlemage Only,30,,Cura,Raise,,,,,,
236,TIM Swords 1,Weapon,Time Battlemage Only,150,,Diamond Sword,Runeblade,Deathbringer,Stoneblade,,,,
237,TIM Swords 2,Weapon,Time Battlemage Only,90,,Durandal,Simha,,,,,,
238,???,Unused,,,,,,,,,,,
239,???,Unused,,,,,,,,,,,
240,???,Unused,,,,,,,,,,,
241,???,Unused,,,,,,,,,,,
242,???,Unused,,,,,,,,,,,
243,???,Unused,,,,,,,,,,,
244,???,Unused,,,,,,,,,,,
245,???,Unused,,,,,,,,,,,
246,???,Unused,,,,,,,,,,,
247,???,Unused,,,,,,,,,,,
248,???,Unused,,,,,,,,,,,
249,???,Unused,,,,,,,,,,,
250,???,Unused,,,,,,,,,,,
251,???,Unused,,,,,,,,,,,
252,???,Unused,,,,,,,,,,,
253,???,Unused,,,,,,,,,,,
254,???,Unused,,,,,,,,,,,
255,???,Unused,,,,,,,,,,,
256,???,Unused,,,,,,,,,,,
257,???,Unused,,,,,,,,,,,
258,???,Unused,,,,,,,,,,,
259,???,Unused,,,,,,,,,,,
260,???,Unused,,,,,,,,,,,
261,???,Unused,,,,,,,,,,,
262,???,Unused,,,,,,,,,,,
263,???,Unused,,,,,,,,,,,
264,???,Unused,,,,,,,,,,,
265,???,Unused,,,,,,,,,,,
266,???,Unused,,,,,,,,,,,
267,???,Unused,,,,,,,,,,,
268,???,Unused,,,,,,,,,,,
269,???,Unused,,,,,,,,,,,
270,???,Unused,,,,,,,,,,,
271,???,Unused,,,,,,,,,,,
272,???,Unused,,,,,,,,,,,
273,???,Unused,,,,,,,,,,,
274,???,Unused,,,,,,,,,,,
275,???,Unused,,,,,,,,,,,
276,???,Unused,,,,,,,,,,,
277,???,Unused,,,,,,,,,,,
278,???,Unused,,,,,,,,,,,
279,???,Unused,,,,,,,,,,,
280,???,Unused,,,,,,,,,,,
281,???,Unused,,,,,,,,,,,
282,???,Unused,,,,,,,,,,,
283,???,Unused,,,,,,,,,,,
284,???,Unused,,,,,,,,,,,
285,???,Unused,,,,,,,,,,,
286,???,Unused,,,,,,,,,,,
287,???,Unused,,,,,,,,,,,
288,???,Unused,,,,,,,,,,,
289,???,Unused,,,,,,,,,,,
290,???,Unused,,,,,,,,,,,
291,???,Unused,,,,,,,,,,,
292,???,Unused,,,,,,,,,,,
293,???,Unused,,,,,,,,,,,
294,???,Unused,,,,,,,,,,,
295,???,Unused,,,,,,,,,,,
296,???,Unused,,,,,,,,,,,
297,???,Unused,,,,,,,,,,,
298,???,Unused,,,,,,,,,,,
299,???,Unused,,,,,,,,,,,
300,???,Unused,,,,,,,,,,,
301,???,Unused,,,,,,,,,,,
302,???,Unused,,,,,,,,,,,
303,???,Unused,,,,,,,,,,,
304,???,Unused,,,,,,,,,,,
305,???,Unused,,,,,,,,,,,
306,???,Unused,,,,,,,,,,,
307,???,Unused,,,,,,,,,,,
308,???,Unused,,,,,,,,,,,
309,???,Unused,,,,,,,,,,,
310,???,Unused,,,,,,,,,,,
311,???,Unused,,,,,,,,,,,
312,???,Unused,,,,,,,,,,,
313,???,Unused,,,,,,,,,,,
314,???,Unused,,,,,,,,,,,
315,???,Unused,,,,,,,,,,,
316,???,Unused,,,,,,,,,,,
317,???,Unused,,,,,,,,,,,
318,???,Unused,,,,,,,,,,,
319,???,Unused,,,,,,,,,,,
320,???,Unused,,,,,,,,,,,
321,???,Unused,,,,,,,,,,,
322,???,Unused,,,,,,,,,,,
323,???,Unused,,,,,,,,,,,
324,???,Unused,,,,,,,,,,,
325,???,Unused,,,,,,,,,,,
326,???,Unused,,,,,,,,,,,
327,???,Unused,,,,,,,,,,,
328,???,Unused,,,,,,,,,,,
329,???,Unused,,,,,,,,,,,
330,???,Unused,,,,,,,,,,,
331,???,Unused,,,,,,,,,,,
332,???,Unused,,,,,,,,,,,
333,???,Unused,,,,,,,,,,,
334,???,Unused,,,,,,,,,,,
335,???,Unused,,,,,,,,,,,
336,???,Unused,,,,,,,,,,,
337,???,Unused,,,,,,,,,,,
338,???,Unused,,,,,,,,,,,
339,???,Unused,,,,,,,,,,,
340,???,Unused,,,,,,,,,,,
341,???,Unused,,,,,,,,,,,
342,???,Unused,,,,,,,,,,,
343,???,Unused,,,,,,,,,,,
344,???,Unused,,,,,,,,,,,
345,???,Unused,,,,,,,,,,,
346,???,Unused,,,,,,,,,,,
347,???,Unused,,,,,,,,,,,
348,???,Unused,,,,,,,,,,,
349,???,Unused,,,,,,,,,,,
350,???,Unused,,,,,,,,,,,
351,???,Unused,,,,,,,,,,,
352,???,Unused,,,,,,,,,,,
353,???,Unused,,,,,,,,,,,
354,???,Unused,,,,,,,,,,,
355,???,Unused,,,,,,,,,,,
356,???,Unused,,,,,,,,,,,
357,???,Unused,,,,,,,,,,,
358,???,Unused,,,,,,,,,,,
359,???,Unused,,,,,,,,,,,
360,Second Board,SecondBoard,Cannot be changed,30,,,,,,,,,
